transaction_id,amount_usd,merchant_category,card_type,auth_method,channel,device_type,account_balance_usd,cvv_retry_count,velocity_score,merchant_risk_score,time_of_day_hour,day_of_week,error_text,category,retry_action_taken,delay_before_retry_min,outcome
txn_10651,25.68,Online Retail,RuPay,OTP,Online,Mac,6741.65,0,17.9,29.0,1,2,Card flagged for review - high risk score,risk_block,retry_same_card,0,failed_again
txn_02042,161.48,Travel,Visa,No Authentication,Online,Windows PC,1914.68,0,19.8,28.1,10,6,Do Not Honour - Insufficient funds,insufficient_funds,retry_upi,30,failed_again
txn_08669,46.46,Streaming,RuPay,PIN,POS,Smart Watch,66252.53,0,0.4,23.5,23,2,Card flagged for review - high risk score,risk_block,retry_same_card,0,failed_again
txn_01115,40.74,Online Retail,Mastercard,3D Secure,Contactless,iPhone,4357.41,0,34.8,49.6,14,2,Network error - request could not be completed,network_error,retry_same_card,0,recovered
txn_13903,12.16,Fuel,Amex,3D Secure,Contactless,ATM Machine,6699.26,0,30.7,27.9,0,4,Bank server did not respond in time,bank_timeout,no_retry,30,failed_again
txn_11964,128.33,Restaurants,Mastercard,3D Secure,ATM,Android Phone,704.17,1,2.9,28.5,2,2,Available balance too low for this transaction,insufficient_funds,retry_upi,360,recovered
txn_11073,10.66,Streaming,Mastercard,OTP,POS,ATM Machine,2314.35,0,16.5,40.6,8,1,Network error - request could not be completed,network_error,retry_upi,360,recovered
txn_03003,450.81,Electronics,Visa,Biometric,POS,iPhone,1284.33,0,32.9,39.6,3,5,Gateway timeout - issuing bank unreachable,bank_timeout,retry_upi,120,failed_again
txn_19772,31.42,Restaurants,Mastercard,3D Secure,Online,POS Terminal,1881.59,0,6.7,25.6,5,3,"Issuer server not responding, request expired",bank_timeout,retry_same_card,120,recovered
txn_08116,233.47,Healthcare,RuPay,No Authentication,Online,Android Phone,2733.89,0,19.5,34.0,21,3,Do Not Honour - Bank declined due to risk parameters,risk_block,no_retry,120,failed_again
txn_03526,5.68,Restaurants,Mastercard,PIN,In-App,iPhone,4010.03,0,29.4,43.6,6,0,Customer authentication failed - OTP mismatch,otp_fail,no_retry,0,failed_again
txn_07880,129.61,Online Retail,Mastercard,No Authentication,In-App,Android Phone,8939.43,0,13.9,21.7,0,6,Expiry date validation failed,card_expired,retry_same_card,120,failed_again
txn_16442,24.07,Gaming,Visa,OTP,POS,Android Phone,3597.14,0,23.7,63.6,10,1,Card flagged for review - high risk score,risk_block,no_retry,120,failed_again
txn_16297,196.28,Travel,RuPay,Biometric,In-App,POS Terminal,2824.15,0,31.8,9.0,7,0,Network error - request could not be completed,network_error,retry_same_card,30,recovered
